Line #,Name,Description,Designator,Quantity,Manufacturer 1,Manufacturer Part Number 1,Manufacturer Lifecycle 1,Supplier 1,Supplier Part Number 1,Supplier Unit Price 1,Supplier Subtotal 1

"","100nF","Capacitor, 100nF, 50V,  X7R","C1, C4, C7, C8, C67, C71, C89","7","","","","","","",""
"","4.7uF","Capacitor, 4.7uF, 50V, X7R","C2, C3","2","","","","","","",""
"","4.7uF","Capacitor, 4.7uF, 16V, X7R","C5, C6, C68, C69","4","","","","","","",""
"","22nF","Capacitor, 22nF, 50V, X7R","C12, C20, C25, C44, C46","5","","","","","","",""
"","2.2uF","Capacitor, 2.2uF, 6.3V, X5R","C13","1","","","","","","",""
"","100nF","Capacitor, 100nF, 25V, X7R","C14, C17, C19, C36, C40, C41","6","","","","","","",""
"","2.2uF","Capacitor, 2.2uF, 16V, X5R","C15, C16, C18, C72, C75","5","","","","","","",""
"","15pF","Capacitor, 15pF, 50V, C0G","C21, C22, C23, C24, C47, C48, C49, C50","8","","","","","","",""
"","100nF","Capacitor, 100nF, 16V, X7R","C26, C27, C31, C32, C33, C34, C35, C42, C43, C45, C51, C52, C53, C54, C56, C57, C58, C61, C62, C63, C64, C65, C66, C70","24","","","","","","",""
"","1uF","Capacitor, 1uF, 6.3V, X5R","C28","1","","","","","","",""
"","220pF","Capacitor, 220pF, 50V, NP0","C29","1","","","","","","",""
"","15nF","Capacitor, 15nF, 25V, X7R","C37","1","","","","","","",""
"","18pF","Capacitor, 18pF, 50V, NP0","C38, C39, C59, C60","4","","","","","","",""
"","10uF","Capacitor, 10uF, 6.3V, X5R","C73, C74","2","","","","","","",""
"","10uF","Capacitor, 10uF, 6.3V, X7R","C134, C143","2","","","","","","",""
"","Green","Led, Green, Li:12mcd, Vf:2.2V, If:0.02A","D1, D2, D6, D9, D10, D11","6","","","","","","",""
"","STTH4R02U","Diode Schottky, Vrrm: 200V, If: 4A, Vf: 1,05V","D3, D5","2","","","","","","",""
"","PMEG3050EP","Diode Schottky, Vrrm: 30V, If: 3A, Vf: 0.36V","D4, D7, D8","3","","","","","","",""
"","STM32F303RET6","ARM Cortex-M4, 72 MHz, 512 KB, 64 KB, 64","IC","1","","","","","","",""
"","LAN9252/ML","EtherCAT Slave Controller","IC1","1","","","","","","",""
"","CP2104-F03-GM","USB to UART converter","IC5","1","","","","","","",""
"","M24C16","SERIAL EEPROM, 16KBIT, 400KHZ","IC8","1","","","","","","",""
"","74980111211","RJ45 With LAN TRANSFRMR","J1, J4","2","","","","","","",""
"","691313510002","WR-TBL 313 Series, 2 Contacts, Header, 5.08 mm","J2","1","","","","","","",""
"","53261-0771","PicoBlade 53261 Series, 7Pin, Right Angle","J3","1","","","","","","",""
"","USB3075","USB 2.0 MICRO B, RCPT, 5POS, SMT","J7, J8","2","","","","","","",""
"","EVQPLMA15","SWITCH, TACT, 4.9MM, SMD, 2.6N","J11","1","","","","","","",""
"","10uH 1.1A","10UH, 30%, 1.1A","L1","1","","","","","","",""
"","BLM18PG330SN1D","Ferrite Bead, Impedance:33ohm, DC Resistance Max:0.025ohm, DC Current Rating:3A","L2, L3, L4, L5, L6","5","","","","","","",""
"","2.2uH 2.3A","2.2UH, 20%, 2.3A","L8","1","","","","","","",""
"","49.9","Resistor, 49.9, 0.1%, 0.0625W, 50V, 100PPM, 0402","R1, R2, R3, R4, R13, R14, R15, R16","8","","","","","","",""
"","4.75k","Resistor, 4.75k, 0.1%, 0.0625W, 50V, 100PPM, 0402","R5, R12, R24, R25, R26, R27, R28, R51, R63, R66","10","","","","","","",""
"","470","Resistor, 470, 1%, 0.0625W, 50V, 100PPM, 0402","R6, R7, R18, R30, R31, R32, R33, R64, R107, R108","10","","","","","","",""
"","10R","Resistor, 10R, 1%, 0.125W, 50V, 200PPM, 0603","R8, R17","2","","","","","","",""
"","240","Resistor, 240, 0.1%, 0.0625W, 50V, 100PPM, 0402","R9, R11","2","","","","","","",""
"","12k","Resistor, 12k, 1%, 0.0625W, 50V, 100PPM, 0402","R10","1","","","","","","",""
"","100K","Resistor, 100k, 0.1%, 0.0625W, 50V, 100PPM, 0402","R19","1","","","","","","",""
"","110K","Resistor, 110K, 0.1%, 0.1W, 75V, 25PPM, 0603","R20","1","","","","","","",""
"","10k","Resistor, 10k, 0.1%, 0.0625W, 50V, 100PPM, 0402","R21, R23, R54, R73","4","","","","","","",""
"","0.05R","Resistor, 0.05R, 1%, 0.125W, 150V, 100PPM, 0805","R22","1","","","","","","",""
"","1.5k","Resistor, 1.5k, 0.1%, 0.0625W, 50V, 100PPM, 0402","R29","1","","","","","","",""
"","45k3","Resistor, 45K3, 0.1%, 0.0625W, 50V, 100PPM, 0402","R72","1","","","","","","",""
"","LM25011MY","STEP-DOWN REGULATOR, MSOP-10","U1","1","","","","","","",""
"","LMR10510XMFE","DC/DC CONV, BUCK, 1.95MHZ, SOT-23-5","U3","1","","","","","","",""
"","12MHz","CRYSTAL, 12MHz,18PF CL, 3.2X2.5MM SMT","X1","1","","","","","","",""
"","25MHz","CRYSTAL, 25MHz,18PF CL, 3.2X2.5MM SMT","X2","1","","","","","","",""
